Unique.ID,num_photos,sensitivity,Transect distance,Run distance,direction,start_time,Duration,Decection,velocity,name,value
WP-7,0,3,12,20,1,2022-02-09T18:39:09Z,10.1,1,2,d.2,2022-02-09T18:39:14Z
WP-7,0,3,12,20,1,2022-02-09T18:39:09Z,10.1,1,2,d.3,2022-02-09T18:39:15Z
WP-7,0,3,12,20,1,2022-02-09T18:39:09Z,10.1,1,2,d.4,2022-02-09T18:39:16Z
WP-7,0,3,12,20,2,2022-02-09T18:39:59Z,8.3,1,2,d.1,2022-02-09T18:40:03Z
WP-7,0,3,12,20,2,2022-02-09T18:39:59Z,8.3,1,2,d.2,2022-02-09T18:40:04Z
WP-7,0,3,12,20,2,2022-02-09T18:39:59Z,8.3,1,2,d.3,2022-02-09T18:40:05Z
WP-7,0,3,12,20,1,2022-02-09T18:40:24Z,9,1,2,d.1,2022-02-09T18:40:28Z
WP-7,0,3,12,20,1,2022-02-09T18:40:24Z,9,1,2,d.2,2022-02-09T18:40:29Z
WP-7,0,3,12,20,1,2022-02-09T18:40:24Z,9,1,2,d.3,2022-02-09T18:40:30Z
WP-7,0,3,12,20,2,2022-02-09T18:40:54Z,8.3,1,2,d.1,2022-02-09T18:40:57Z
WP-7,0,3,12,20,2,2022-02-09T18:40:54Z,8.3,1,2,d.2,2022-02-09T18:40:59Z
WP-7,0,3,12,20,2,2022-02-09T18:40:54Z,8.3,1,2,d.3,2022-02-09T18:41:00Z
WP-7,0,3,15,20,1,2022-02-09T18:41:42Z,7.1,1,3,d.1,2022-02-09T18:41:44Z
WP-7,0,3,15,20,1,2022-02-09T18:41:42Z,7.1,1,3,d.2,2022-02-09T18:41:45Z
WP-7,0,3,15,20,1,2022-02-09T18:41:42Z,7.1,1,3,d.3,2022-02-09T18:41:46Z
WP-7,0,3,15,20,1,2022-02-09T18:41:42Z,7.1,1,3,d.4,2022-02-09T18:41:47Z
WP-7,0,3,15,20,2,2022-02-09T18:42:37Z,11.6,1,2,d.1,2022-02-09T18:42:42Z
WP-7,0,3,15,20,2,2022-02-09T18:42:37Z,11.6,1,2,d.2,2022-02-09T18:42:43Z
WP-7,0,3,15,20,2,2022-02-09T18:42:37Z,11.6,1,2,d.3,2022-02-09T18:42:44Z
WP-7,0,3,15,20,2,2022-02-09T18:42:37Z,11.6,1,2,d.4,2022-02-09T18:42:45Z
WP-7,0,3,15,20,2,2022-02-09T18:42:37Z,11.6,1,2,d.5,2022-02-09T18:42:46Z
WP-7,0,3,15,20,1,2022-02-09T18:44:22Z,8.8,1,2,d.1,2022-02-09T18:44:27Z
WP-7,0,3,15,20,1,2022-02-09T18:44:22Z,8.8,1,2,d.2,2022-02-09T18:44:28Z
WP-7,0,3,15,20,1,2022-02-09T18:44:22Z,8.8,1,2,d.3,2022-02-09T18:44:29Z
WP-7,0,3,15,20,2,2022-02-09T18:44:46Z,10.5,1,2,d.1,2022-02-09T18:44:50Z
WP-7,0,3,15,20,2,2022-02-09T18:44:46Z,10.5,1,2,d.2,2022-02-09T18:44:51Z
WP-7,0,3,15,20,2,2022-02-09T18:44:46Z,10.5,1,2,d.3,2022-02-09T18:44:52Z
WP-7,0,3,15,20,2,2022-02-09T18:44:46Z,10.5,1,2,d.4,2022-02-09T18:44:53Z
WP-7,0,3,15,20,2,2022-02-09T18:44:46Z,10.5,1,2,d.5,2022-02-09T18:44:54Z
WP-7,0,3,15,20,1,2022-02-09T18:45:09Z,8.3,1,2,d.1,2022-02-09T18:45:13Z
WP-7,0,3,15,20,1,2022-02-09T18:45:09Z,8.3,1,2,d.2,2022-02-09T18:45:14Z
WP-7,0,3,15,20,1,2022-02-09T18:45:09Z,8.3,1,2,d.3,2022-02-09T18:45:15Z
WP-7,0,3,15,20,1,2022-02-09T18:45:09Z,8.3,1,2,d.4,2022-02-09T18:45:16Z
WP-7,0,3,15,20,2,2022-02-09T18:45:36Z,9,1,2,d.1,2022-02-09T18:45:41Z
