unique_id,detection_datetime,seconds_in,run_dist,x_distance,velocity,grid_dist,detection,brand,cover,canopy,shrub,temp
RM-14-9,2022-03-25T13:12:09Z,9,20,3,2,6,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:13:08Z,8,20,3,2,5,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:14:09Z,9,20,3,2,6,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:15:08Z,8,20,5,2,3,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:16:08Z,8,20,5,2,5,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:17:08Z,8,20,5,2,5,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:18:08Z,8,20,5,2,6,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:19:08Z,8,20,5,2,5,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:20:08Z,8,20,5,2,6,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:21:08Z,8,20,10,2,3,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:22:07Z,7,20,10,2,2,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:22:10Z,10,20,10,2,7,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:23:08Z,8,20,10,2,5,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:24:06Z,6,20,10,2,1,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:25:08Z,8,20,10,2,5,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:26:06Z,6,20,10,2,1,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:26:10Z,10,20,10,2,8,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:27:07Z,7,20,12,2,3,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:27:10Z,10,20,12,2,8,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:28:06Z,6,20,12,2,1,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:28:10Z,10,20,12,2,8,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:29:07Z,7,20,12,2,4,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:30:06Z,6,20,12,2,2,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:30:09Z,9,20,12,2,8,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:31:07Z,7,20,12,2,3,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:31:10Z,10,20,12,2,8,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:32:06Z,6,20,12,2,2,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:32:09Z,9,20,12,2,8,1,reconyx,75,93.5,31,0
