unique_id.x,brand,Transect distance,seconds,start_dec,DateTimeOriginal,name,value
PP-2,Reconyx,12,10,1,2022-08-05T01:10:26Z,three,2022-08-05T01:10:33Z
PP-2,Reconyx,15,10,1,2022-08-05T01:10:45Z,two,2022-08-05T01:10:50Z
PP-2,Reconyx,15,10,1,2022-08-05T01:10:45Z,three,2022-08-05T01:10:52Z
PP-2,Reconyx,15,10,1,2022-08-05T01:11:02Z,two,2022-08-05T01:11:06Z
PP-2,Reconyx,15,10,1,2022-08-05T01:11:02Z,three,2022-08-05T01:11:08Z
PP-2,Reconyx,15,10,1,2022-08-05T01:11:20Z,two,2022-08-05T01:11:23Z
PP-2,Reconyx,15,10,1,2022-08-05T01:11:20Z,three,2022-08-05T01:11:25Z
PP-2,Reconyx,15,10,1,2022-08-05T01:11:20Z,four,2022-08-05T01:11:27Z
PP-2,Reconyx,15,10,1,2022-08-05T01:11:34Z,two,2022-08-05T01:11:39Z
PP-2,Reconyx,15,10,1,2022-08-05T01:11:34Z,three,2022-08-05T01:11:41Z
PP-2,Reconyx,15,10,1,2022-08-05T01:11:51Z,two,2022-08-05T01:11:55Z
PP-2,Reconyx,15,10,1,2022-08-05T01:11:51Z,three,2022-08-05T01:11:57Z
PP-2,Reconyx,15,10,1,2022-08-05T01:12:08Z,two,2022-08-05T01:12:11Z
PP-2,Reconyx,15,10,1,2022-08-05T01:12:08Z,three,2022-08-05T01:12:13Z
PP-2,Reconyx,20,10,1,2022-08-05T01:12:31Z,two,2022-08-05T01:12:36Z
PP-2,Reconyx,20,10,1,2022-08-05T01:13:05Z,two,2022-08-05T01:13:08Z
PP-2,Reconyx,20,10,1,2022-08-05T01:13:39Z,two,2022-08-05T01:13:43Z
PP-3,Reconyx,3,10,1,2022-08-05T00:48:48Z,two,2022-08-05T00:48:55Z
PP-3,Reconyx,5,10,1,2022-08-05T00:51:08Z,two,2022-08-05T00:51:12Z
PP-3,Reconyx,5,10,1,2022-08-05T00:51:23Z,two,2022-08-05T00:51:28Z
PP-3,Reconyx,5,11,1,2022-08-05T00:51:40Z,two,2022-08-05T00:51:44Z
PP-3,Reconyx,5,11,1,2022-08-05T00:51:56Z,two,2022-08-05T00:52:02Z
PP-3,Reconyx,5,10,1,2022-08-05T00:52:14Z,two,2022-08-05T00:52:20Z
PP-3,Reconyx,10,10,1,2022-08-05T00:52:50Z,two,2022-08-05T00:52:54Z
PP-3,Reconyx,10,10,1,2022-08-05T00:53:05Z,two,2022-08-05T00:53:10Z
PP-3,Reconyx,10,10,1,2022-08-05T00:53:05Z,three,2022-08-05T00:53:12Z
PP-3,Reconyx,10,11,1,2022-08-05T00:53:22Z,two,2022-08-05T00:53:27Z
PP-3,Reconyx,10,11,1,2022-08-05T00:53:22Z,three,2022-08-05T00:53:29Z
PP-3,Reconyx,10,10,1,2022-08-05T00:53:40Z,two,2022-08-05T00:53:43Z
PP-3,Reconyx,10,10,1,2022-08-05T00:53:40Z,three,2022-08-05T00:53:45Z
PP-3,Reconyx,10,11,1,2022-08-05T00:53:57Z,two,2022-08-05T00:54:00Z
PP-3,Reconyx,10,11,1,2022-08-05T00:53:57Z,three,2022-08-05T00:54:02Z
PP-3,Reconyx,10,10,1,2022-08-05T00:54:15Z,two,2022-08-05T00:54:19Z
PP-3,Reconyx,12,10,1,2022-08-05T00:54:34Z,two,2022-08-05T00:54:38Z
PP-3,Reconyx,12,10,1,2022-08-05T00:54:34Z,three,2022-08-05T00:54:41Z
PP-3,Reconyx,12,10,1,2022-08-05T00:54:52Z,two,2022-08-05T00:54:55Z
PP-3,Reconyx,12,10,1,2022-08-05T00:54:52Z,three,2022-08-05T00:54:58Z
PP-3,Reconyx,12,10,1,2022-08-05T00:55:09Z,two,2022-08-05T00:55:12Z
PP-3,Reconyx,12,10,1,2022-08-05T00:55:09Z,three,2022-08-05T00:55:15Z
PP-3,Reconyx,12,11,1,2022-08-05T00:55:26Z,two,2022-08-05T00:55:29Z
PP-3,Reconyx,12,11,1,2022-08-05T00:55:26Z,three,2022-08-05T00:55:31Z
PP-3,Reconyx,12,10,1,2022-08-05T00:55:41Z,two,2022-08-05T00:55:45Z
PP-3,Reconyx,12,10,1,2022-08-05T00:55:41Z,three,2022-08-05T00:55:48Z
PP-3,Reconyx,12,10,1,2022-08-05T00:55:59Z,two,2022-08-05T00:56:02Z
PP-3,Reconyx,12,10,1,2022-08-05T00:55:59Z,three,2022-08-05T00:56:04Z
PP-3,Reconyx,15,10,1,2022-08-05T00:56:22Z,two,2022-08-05T00:56:25Z
PP-3,Reconyx,15,10,1,2022-08-05T00:56:52Z,two,2022-08-05T00:56:56Z
PP-3,Reconyx,15,10,1,2022-08-05T00:57:28Z,two,2022-08-05T00:57:31Z
PP-4,Reconyx,3,9,1,2022-08-05T01:33:43Z,two,2022-08-05T01:33:48Z
PP-4,Reconyx,3,9,1,2022-08-05T01:34:14Z,two,2022-08-05T01:34:20Z
PP-4,Reconyx,3,10,1,2022-08-05T01:34:46Z,two,2022-08-05T01:34:52Z
PP-4,Reconyx,5,10,1,2022-08-05T01:35:20Z,two,2022-08-05T01:35:25Z
PP-4,Reconyx,5,10,1,2022-08-05T01:35:36Z,two,2022-08-05T01:35:41Z
PP-4,Reconyx,5,10,1,2022-08-05T01:35:36Z,three,2022-08-05T01:35:43Z
PP-4,Reconyx,5,10,1,2022-08-05T01:36:00Z,two,2022-08-05T01:36:06Z
PP-4,Reconyx,5,10,1,2022-08-05T01:36:17Z,two,2022-08-05T01:36:23Z
PP-4,Reconyx,5,9,1,2022-08-05T01:36:34Z,two,2022-08-05T01:36:39Z
PP-4,Reconyx,5,10,1,2022-08-05T01:36:50Z,two,2022-08-05T01:36:56Z
PP-4,Reconyx,10,10,1,2022-08-05T01:37:12Z,two,2022-08-05T01:37:18Z
PP-4,Reconyx,10,10,1,2022-08-05T01:37:28Z,two,2022-08-05T01:37:34Z
PP-4,Reconyx,10,10,1,2022-08-05T01:37:45Z,two,2022-08-05T01:37:50Z
PP-4,Reconyx,10,10,1,2022-08-05T01:37:45Z,three,2022-08-05T01:37:52Z
PP-4,Reconyx,10,10,1,2022-08-05T01:38:02Z,two,2022-08-05T01:38:08Z
PP-4,Reconyx,10,10,1,2022-08-05T01:38:18Z,two,2022-08-05T01:38:24Z
PP-4,Reconyx,12,10,1,2022-08-05T01:38:54Z,two,2022-08-05T01:39:00Z
PP-4,Reconyx,12,10,1,2022-08-05T01:38:54Z,three,2022-08-05T01:39:02Z
PP-4,Reconyx,12,10,1,2022-08-05T01:39:10Z,two,2022-08-05T01:39:17Z
PP-4,Reconyx,12,10,1,2022-08-05T01:39:28Z,two,2022-08-05T01:39:34Z
PP-4,Reconyx,12,10,1,2022-08-05T01:39:50Z,two,2022-08-05T01:39:54Z
PP-4,Reconyx,12,10,1,2022-08-05T01:40:06Z,two,2022-08-05T01:40:12Z
PP-4,Reconyx,12,10,1,2022-08-05T01:40:23Z,two,2022-08-05T01:40:29Z
PP-4,Reconyx,15,10,1,2022-08-05T01:40:43Z,two,2022-08-05T01:40:49Z
PP-4,Reconyx,15,9,1,2022-08-05T01:40:59Z,two,2022-08-05T01:41:05Z
PP-4,Reconyx,15,10,1,2022-08-05T01:41:16Z,two,2022-08-05T01:41:22Z
PP-4,Reconyx,15,10,1,2022-08-05T01:41:49Z,two,2022-08-05T01:41:55Z
PP-4,Reconyx,15,10,1,2022-08-05T01:42:05Z,two,2022-08-05T01:42:11Z
PP-6,Reconyx,3,13,1,2022-08-05T01:13:33Z,two,2022-08-05T01:13:40Z
PP-6,Reconyx,5,10,1,2022-08-05T01:14:31Z,two,2022-08-05T01:14:34Z
PP-6,Reconyx,5,10,1,2022-08-05T01:14:31Z,three,2022-08-05T01:14:36Z
PP-6,Reconyx,10,11,1,2022-08-05T01:17:29Z,two,2022-08-05T01:17:34Z
PP-6,Reconyx,10,11,1,2022-08-05T01:17:29Z,three,2022-08-05T01:17:35Z
PP-7,Reconyx,5,9,1,2022-08-05T00:29:52Z,two,2022-08-05T00:29:56Z
PP-7,Reconyx,5,9,1,2022-08-05T00:30:08Z,two,2022-08-05T00:30:13Z
PP-7,Reconyx,5,9,1,2022-08-05T00:30:25Z,two,2022-08-05T00:30:29Z
PP-7,Reconyx,5,9,1,2022-08-05T00:30:45Z,two,2022-08-05T00:30:48Z
PP-7,Reconyx,5,9,1,2022-08-05T00:31:00Z,two,2022-08-05T00:31:04Z
PP-7,Reconyx,5,9,1,2022-08-05T00:31:16Z,two,2022-08-05T00:31:21Z
PP-7,Reconyx,10,10,1,2022-08-05T00:31:44Z,two,2022-08-05T00:31:48Z
PP-7,Reconyx,10,10,1,2022-08-05T00:31:44Z,three,2022-08-05T00:31:50Z
PP-7,Reconyx,10,10,1,2022-08-05T00:32:24Z,two,2022-08-05T00:32:27Z
PP-7,Reconyx,10,10,1,2022-08-05T00:32:24Z,three,2022-08-05T00:32:29Z
PP-7,Reconyx,10,10,1,2022-08-05T00:32:40Z,two,2022-08-05T00:32:45Z
PP-7,Reconyx,10,10,1,2022-08-05T00:32:40Z,three,2022-08-05T00:32:47Z
PP-7,Reconyx,10,10,1,2022-08-05T00:32:59Z,two,2022-08-05T00:33:04Z
PP-7,Reconyx,10,10,1,2022-08-05T00:32:59Z,three,2022-08-05T00:33:06Z
PP-7,Reconyx,10,11,1,2022-08-05T00:33:17Z,two,2022-08-05T00:33:20Z
PP-7,Reconyx,10,11,1,2022-08-05T00:33:17Z,three,2022-08-05T00:33:23Z
PP-7,Reconyx,12,8,1,2022-08-05T00:33:53Z,two,2022-08-05T00:33:55Z
PP-7,Reconyx,12,8,1,2022-08-05T00:33:53Z,three,2022-08-05T00:33:57Z
PP-7,Reconyx,12,11,1,2022-08-05T00:34:50Z,two,2022-08-05T00:34:54Z
PP-7,Reconyx,12,11,1,2022-08-05T00:34:50Z,three,2022-08-05T00:34:56Z
PP-7,Reconyx,12,11,1,2022-08-05T00:34:50Z,four,2022-08-05T00:34:58Z
PP-7,Reconyx,12,10,1,2022-08-05T00:35:32Z,two,2022-08-05T00:35:34Z
PP-7,Reconyx,12,10,1,2022-08-05T00:35:32Z,three,2022-08-05T00:35:37Z
PP-8,Reconyx,3,9,1,2022-08-05T01:50:23Z,two,2022-08-05T01:50:27Z
PP-8,Reconyx,3,10,1,2022-08-05T01:50:53Z,two,2022-08-05T01:50:59Z
PP-8,Reconyx,3,10,1,2022-08-05T01:51:25Z,two,2022-08-05T01:51:31Z
PP-8,Reconyx,5,10,1,2022-08-05T01:51:59Z,two,2022-08-05T01:52:05Z
PP-8,Reconyx,5,10,1,2022-08-05T01:52:16Z,two,2022-08-05T01:52:21Z
PP-8,Reconyx,5,10,1,2022-08-05T01:52:31Z,two,2022-08-05T01:52:37Z
PP-8,Reconyx,5,10,1,2022-08-05T01:52:48Z,two,2022-08-05T01:52:54Z
PP-8,Reconyx,5,9,1,2022-08-05T01:53:08Z,two,2022-08-05T01:53:11Z
PP-8,Reconyx,5,10,1,2022-08-05T01:53:22Z,two,2022-08-05T01:53:28Z
PP-9,Reconyx,5,9,1,2022-08-05T00:53:58Z,two,2022-08-05T00:54:01Z
PP-9,Reconyx,5,10,1,2022-08-05T00:54:21Z,two,2022-08-05T00:54:26Z
PP-9,Reconyx,5,10,1,2022-08-05T00:54:45Z,two,2022-08-05T00:54:51Z
PP-9,Reconyx,5,10,1,2022-08-05T00:55:08Z,two,2022-08-05T00:55:14Z
PP-9,Reconyx,5,9,1,2022-08-05T00:55:57Z,two,2022-08-05T00:56:03Z
PP-9,Reconyx,10,11,1,2022-08-05T00:56:29Z,two,2022-08-05T00:56:31Z
PP-9,Reconyx,10,11,1,2022-08-05T00:56:29Z,three,2022-08-05T00:56:33Z
PP-9,Reconyx,10,11,1,2022-08-05T00:56:54Z,two,2022-08-05T00:56:56Z
PP-9,Reconyx,10,11,1,2022-08-05T00:56:54Z,three,2022-08-05T00:56:58Z
PP-9,Reconyx,10,9,1,2022-08-05T00:57:18Z,two,2022-08-05T00:57:25Z
PP-9,Reconyx,10,9,1,2022-08-05T00:57:41Z,two,2022-08-05T00:57:46Z
PP-9,Reconyx,10,9,1,2022-08-05T00:58:02Z,two,2022-08-05T00:58:08Z
PP-9,Reconyx,10,9,1,2022-08-05T00:58:02Z,three,2022-08-05T00:58:10Z
PP-9,Reconyx,12,10,1,2022-08-05T00:58:58Z,two,2022-08-05T00:59:02Z
PP-9,Reconyx,12,10,1,2022-08-05T00:58:58Z,three,2022-08-05T00:59:04Z
PP-9,Reconyx,12,9,1,2022-08-05T00:59:21Z,two,2022-08-05T00:59:24Z
PP-9,Reconyx,12,9,1,2022-08-05T00:59:21Z,three,2022-08-05T00:59:26Z
PP-9,Reconyx,12,10,1,2022-08-05T00:59:44Z,two,2022-08-05T00:59:48Z
PP-9,Reconyx,12,10,1,2022-08-05T00:59:44Z,three,2022-08-05T00:59:50Z
PP-9,Reconyx,12,10,1,2022-08-05T01:00:08Z,two,2022-08-05T01:00:10Z
PP-9,Reconyx,12,10,1,2022-08-05T01:00:08Z,three,2022-08-05T01:00:12Z
PP-9,Reconyx,12,10,1,2022-08-05T01:00:28Z,two,2022-08-05T01:00:35Z
PP-9,Reconyx,12,10,1,2022-08-05T01:00:28Z,three,2022-08-05T01:00:37Z
PP-9,Reconyx,12,10,1,2022-08-05T01:00:52Z,two,2022-08-05T01:00:57Z
PP-9,Reconyx,12,10,1,2022-08-05T01:00:52Z,three,2022-08-05T01:00:59Z
PP-9,Reconyx,15,10,1,2022-08-05T01:01:26Z,two,2022-08-05T01:01:32Z
PP-9,Reconyx,15,10,1,2022-08-05T01:01:26Z,three,2022-08-05T01:01:34Z
