Unique.ID,Transect distance,Run distance,direction,DateTimeStart,Duration,Decection,s1,s2,s3,s4,velocity,distance1,distance2,distance3,distance4,name,value
RM-30-1,3,20,1,2022-10-26T12:49:56Z,10,1,6,NA,NA,NA,2,12,NA,NA,NA,D1,2022-10-26T12:50:02Z
RM-30-1,3,20,2,2022-10-26T12:50:14Z,10,1,6,NA,NA,NA,2,8,NA,NA,NA,D1,2022-10-26T12:50:20Z
RM-30-1,3,20,1,2022-10-26T12:50:35Z,10,1,6,NA,NA,NA,2,12,NA,NA,NA,D1,2022-10-26T12:50:41Z
RM-30-1,3,20,1,2022-10-26T12:51:12Z,11,1,6,NA,NA,NA,1.8181818181818181,10.909090909090908,NA,NA,NA,D1,2022-10-26T12:51:18Z
RM-30-1,3,20,2,2022-10-26T12:51:31Z,10,1,5,NA,NA,NA,2,10,NA,NA,NA,D1,2022-10-26T12:51:36Z
RM-30-1,5,20,1,2022-10-26T12:51:52Z,13,1,7,NA,NA,NA,1.5384615384615385,10.76923076923077,NA,NA,NA,D1,2022-10-26T12:51:59Z
RM-30-1,5,20,2,2022-10-26T12:52:32Z,11,1,7,NA,NA,NA,1.8181818181818181,7.272727272727273,NA,NA,NA,D1,2022-10-26T12:52:39Z
RM-30-1,5,20,1,2022-10-26T12:52:52Z,11,1,8,NA,NA,NA,1.8181818181818181,14.545454545454545,NA,NA,NA,D1,2022-10-26T12:53:00Z
RM-30-1,5,20,2,2022-10-26T12:53:14Z,11,1,6,NA,NA,NA,1.8181818181818181,9.090909090909092,NA,NA,NA,D1,2022-10-26T12:53:20Z
RM-30-1,5,20,1,2022-10-26T12:53:36Z,11,1,6,NA,NA,NA,1.8181818181818181,10.909090909090908,NA,NA,NA,D1,2022-10-26T12:53:42Z
RM-30-1,5,20,2,2022-10-26T12:53:54Z,11,1,8,NA,NA,NA,1.8181818181818181,5.454545454545455,NA,NA,NA,D1,2022-10-26T12:54:02Z
RM-30-1,10,20,1,2022-10-26T12:54:29Z,12,1,4,6,NA,NA,1.6666666666666667,6.666666666666667,10,NA,NA,D1,2022-10-26T12:54:33Z
RM-30-1,10,20,1,2022-10-26T12:54:29Z,12,1,4,6,NA,NA,1.6666666666666667,6.666666666666667,10,NA,NA,D2,2022-10-26T12:54:35Z
RM-30-1,10,20,2,2022-10-26T12:54:50Z,12,1,6,8,NA,NA,1.6666666666666667,10,6.666666666666666,NA,NA,D1,2022-10-26T12:54:56Z
RM-30-1,10,20,2,2022-10-26T12:54:50Z,12,1,6,8,NA,NA,1.6666666666666667,10,6.666666666666666,NA,NA,D2,2022-10-26T12:54:58Z
RM-30-1,10,20,1,2022-10-26T12:55:13Z,12,1,5,8,NA,NA,1.6666666666666667,8.333333333333334,13.333333333333334,NA,NA,D1,2022-10-26T12:55:18Z
RM-30-1,10,20,1,2022-10-26T12:55:13Z,12,1,5,8,NA,NA,1.6666666666666667,8.333333333333334,13.333333333333334,NA,NA,D2,2022-10-26T12:55:21Z
RM-30-1,10,20,2,2022-10-26T12:51:36Z,12,1,5,8,NA,NA,1.6666666666666667,11.666666666666666,6.666666666666666,NA,NA,D1,2022-10-26T12:51:41Z
RM-30-1,10,20,2,2022-10-26T12:51:36Z,12,1,5,8,NA,NA,1.6666666666666667,11.666666666666666,6.666666666666666,NA,NA,D2,2022-10-26T12:51:44Z
RM-30-1,10,20,1,2022-10-26T12:56:03Z,12,1,6,8,NA,NA,1.6666666666666667,10,13.333333333333334,NA,NA,D1,2022-10-26T12:56:09Z
RM-30-1,10,20,1,2022-10-26T12:56:03Z,12,1,6,8,NA,NA,1.6666666666666667,10,13.333333333333334,NA,NA,D2,2022-10-26T12:56:11Z
RM-30-1,10,20,2,2022-10-26T12:56:26Z,12,1,6,8,NA,NA,1.6666666666666667,10,6.666666666666666,NA,NA,D1,2022-10-26T12:56:32Z
RM-30-1,10,20,2,2022-10-26T12:56:26Z,12,1,6,8,NA,NA,1.6666666666666667,10,6.666666666666666,NA,NA,D2,2022-10-26T12:56:34Z
RM-30-1,12,20,1,2022-10-26T12:56:56Z,13,1,7,10,NA,NA,1.5384615384615385,10.76923076923077,15.384615384615385,NA,NA,D1,2022-10-26T12:57:03Z
RM-30-1,12,20,1,2022-10-26T12:56:56Z,13,1,7,10,NA,NA,1.5384615384615385,10.76923076923077,15.384615384615385,NA,NA,D2,2022-10-26T12:57:06Z
RM-30-1,12,20,2,2022-10-26T12:57:28Z,11,1,6,9,NA,NA,1.8181818181818181,9.090909090909092,3.6363636363636367,NA,NA,D1,2022-10-26T12:57:34Z
RM-30-1,12,20,2,2022-10-26T12:57:28Z,11,1,6,9,NA,NA,1.8181818181818181,9.090909090909092,3.6363636363636367,NA,NA,D2,2022-10-26T12:57:37Z
RM-30-1,12,20,1,2022-10-26T12:57:46Z,12,1,7,10,NA,NA,1.6666666666666667,11.666666666666668,16.666666666666668,NA,NA,D1,2022-10-26T12:57:53Z
RM-30-1,12,20,1,2022-10-26T12:57:46Z,12,1,7,10,NA,NA,1.6666666666666667,11.666666666666668,16.666666666666668,NA,NA,D2,2022-10-26T12:57:56Z
RM-30-1,12,20,2,2022-10-26T12:58:10Z,12,1,8,10,12,NA,1.6666666666666667,6.666666666666666,3.333333333333332,0,NA,D1,2022-10-26T12:58:18Z
RM-30-1,12,20,2,2022-10-26T12:58:10Z,12,1,8,10,12,NA,1.6666666666666667,6.666666666666666,3.333333333333332,0,NA,D2,2022-10-26T12:58:20Z
RM-30-1,12,20,2,2022-10-26T12:58:10Z,12,1,8,10,12,NA,1.6666666666666667,6.666666666666666,3.333333333333332,0,NA,D3,2022-10-26T12:58:22Z
RM-30-1,12,20,1,2022-10-26T12:58:29Z,12,1,9,12,NA,NA,1.6666666666666667,15,20,NA,NA,D1,2022-10-26T12:58:38Z
RM-30-1,12,20,1,2022-10-26T12:58:29Z,12,1,9,12,NA,NA,1.6666666666666667,15,20,NA,NA,D2,2022-10-26T12:58:41Z
RM-30-1,12,20,2,2022-10-26T12:58:58Z,12,1,7,9,11,NA,1.6666666666666667,8.333333333333332,5,1.6666666666666643,NA,D1,2022-10-26T12:59:05Z
RM-30-1,12,20,2,2022-10-26T12:58:58Z,12,1,7,9,11,NA,1.6666666666666667,8.333333333333332,5,1.6666666666666643,NA,D2,2022-10-26T12:59:07Z
RM-30-1,12,20,2,2022-10-26T12:58:58Z,12,1,7,9,11,NA,1.6666666666666667,8.333333333333332,5,1.6666666666666643,NA,D3,2022-10-26T12:59:09Z
RM-30-1,15,20,1,2022-10-26T12:59:27Z,12,1,5,8,NA,NA,1.6666666666666667,8.333333333333334,13.333333333333334,NA,NA,D1,2022-10-26T12:59:32Z
RM-30-1,15,20,1,2022-10-26T12:59:27Z,12,1,5,8,NA,NA,1.6666666666666667,8.333333333333334,13.333333333333334,NA,NA,D2,2022-10-26T12:59:35Z
RM-30-1,15,20,1,2022-10-26T13:00:10Z,11,1,6,8,NA,NA,1.8181818181818181,10.909090909090908,14.545454545454545,NA,NA,D1,2022-10-26T13:00:16Z
RM-30-1,15,20,1,2022-10-26T13:00:10Z,11,1,6,8,NA,NA,1.8181818181818181,10.909090909090908,14.545454545454545,NA,NA,D2,2022-10-26T13:00:18Z
RM-30-1,15,20,2,2022-10-26T13:00:30Z,11,1,9,NA,NA,NA,1.8181818181818181,3.6363636363636367,NA,NA,NA,D1,2022-10-26T13:00:39Z
RM-30-1,15,20,1,2022-10-26T13:00:52Z,12,1,6,8,10,NA,1.6666666666666667,10,13.333333333333334,16.666666666666668,NA,D1,2022-10-26T13:00:58Z
RM-30-1,15,20,1,2022-10-26T13:00:52Z,12,1,6,8,10,NA,1.6666666666666667,10,13.333333333333334,16.666666666666668,NA,D2,2022-10-26T13:01:00Z
RM-30-1,15,20,1,2022-10-26T13:00:52Z,12,1,6,8,10,NA,1.6666666666666667,10,13.333333333333334,16.666666666666668,NA,D3,2022-10-26T13:01:02Z
RM-30-1,15,20,2,2022-10-26T13:01:15Z,11,1,7,9,NA,NA,1.8181818181818181,7.272727272727273,3.6363636363636367,NA,NA,D1,2022-10-26T13:01:22Z
RM-30-1,15,20,2,2022-10-26T13:01:15Z,11,1,7,9,NA,NA,1.8181818181818181,7.272727272727273,3.6363636363636367,NA,NA,D2,2022-10-26T13:01:24Z
RM-30-9,3,20,1,2022-10-26T12:44:44Z,9,1,6,NA,NA,NA,2.2222222222222223,13.333333333333334,NA,NA,NA,D1,2022-10-26T12:44:50Z
