unique_id,num_photos,sensitivity,detection.x,detection_time,sec_in,x_distance,duration,velocity.y,y_dist,date
WP-7,2,4,1,2022-02-09T22:15:43Z,7,15,9,2.2222222222222223,15.555555555555557,2022-02-09
WP-7,2,4,1,2022-02-09T22:15:44Z,8,15,9,2.2222222222222223,17.77777777777778,2022-02-09
WP-7,2,4,1,2022-02-09T22:15:45Z,9,15,9,2.2222222222222223,20,2022-02-09
WP-7,2,4,1,2022-02-09T22:16:21Z,3,20,10,2,6,2022-02-09
WP-7,2,4,1,2022-02-09T22:16:22Z,4,20,10,2,8,2022-02-09
WP-7,2,4,1,2022-02-09T22:16:23Z,5,20,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:16:25Z,7,20,10,2,14,2022-02-09
WP-7,2,4,1,2022-02-09T22:16:26Z,8,20,10,2,16,2022-02-09
WP-7,2,4,1,2022-02-09T22:18:48Z,4,20,10,2,8,2022-02-09
WP-7,2,4,1,2022-02-09T22:18:49Z,5,20,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:18:50Z,6,20,10,2,12,2022-02-09
WP-7,2,4,1,2022-02-09T22:18:51Z,7,20,10,2,14,2022-02-09
WP-7,2,4,1,2022-02-09T22:18:52Z,8,20,10,2,16,2022-02-09
WP-7,2,4,1,2022-02-09T22:18:53Z,9,20,10,2,18,2022-02-09
WP-7,2,4,1,2022-02-09T22:17:12Z,4,20,9,2.2222222222222223,8.88888888888889,2022-02-09
WP-7,2,4,1,2022-02-09T22:17:13Z,5,20,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-7,2,4,1,2022-02-09T22:17:14Z,6,20,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-7,2,4,1,2022-02-09T22:17:15Z,7,20,9,2.2222222222222223,15.555555555555557,2022-02-09
WP-7,2,4,1,2022-02-09T22:17:16Z,8,20,9,2.2222222222222223,17.77777777777778,2022-02-09
WP-7,2,4,1,2022-02-09T22:17:34Z,3,20,10,2,6,2022-02-09
WP-7,2,4,1,2022-02-09T22:17:36Z,5,20,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:17:37Z,6,20,10,2,12,2022-02-09
WP-7,2,4,1,2022-02-09T22:17:38Z,7,20,10,2,14,2022-02-09
WP-7,2,4,1,2022-02-09T22:17:39Z,8,20,10,2,16,2022-02-09
WP-7,2,4,1,2022-02-09T22:17:40Z,9,20,10,2,18,2022-02-09
WP-7,2,4,1,2022-02-09T22:17:59Z,4,20,9,2.2222222222222223,8.88888888888889,2022-02-09
WP-7,2,4,1,2022-02-09T22:18:00Z,5,20,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-7,2,4,1,2022-02-09T22:18:01Z,6,20,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-7,2,4,1,2022-02-09T22:18:02Z,7,20,9,2.2222222222222223,15.555555555555557,2022-02-09
WP-7,2,4,1,2022-02-09T22:18:03Z,8,20,9,2.2222222222222223,17.77777777777778,2022-02-09
WP-7,2,4,1,2022-02-09T22:18:04Z,9,20,9,2.2222222222222223,20,2022-02-09
WP-7,2,4,1,2022-02-09T22:18:23Z,3,20,9,2.2222222222222223,6.666666666666667,2022-02-09
WP-7,2,4,1,2022-02-09T22:18:24Z,4,20,9,2.2222222222222223,8.88888888888889,2022-02-09
WP-7,2,4,1,2022-02-09T22:18:25Z,5,20,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-7,2,4,1,2022-02-09T22:18:26Z,6,20,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-7,2,4,1,2022-02-09T22:18:27Z,7,20,9,2.2222222222222223,15.555555555555557,2022-02-09
WP-7,2,4,1,2022-02-09T20:17:18Z,3,30,9,2.2222222222222223,6.666666666666667,2022-02-09
WP-7,2,4,1,2022-02-09T20:17:19Z,4,30,9,2.2222222222222223,8.88888888888889,2022-02-09
WP-7,2,4,1,2022-02-09T20:17:20Z,5,30,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-7,2,4,1,2022-02-09T20:17:21Z,6,30,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-7,2,4,1,2022-02-09T20:17:22Z,7,30,9,2.2222222222222223,15.555555555555557,2022-02-09
WP-7,2,4,1,2022-02-09T20:17:23Z,8,30,9,2.2222222222222223,17.77777777777778,2022-02-09
WP-7,2,4,1,2022-02-09T20:17:24Z,9,30,9,2.2222222222222223,20,2022-02-09
WP-7,2,4,1,2022-02-09T20:17:49Z,4,30,10,2,8,2022-02-09
WP-7,2,4,1,2022-02-09T20:17:50Z,5,30,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T20:17:51Z,6,30,10,2,12,2022-02-09
WP-7,2,4,1,2022-02-09T20:17:52Z,7,30,10,2,14,2022-02-09
WP-7,2,4,1,2022-02-09T20:17:53Z,8,30,10,2,16,2022-02-09
WP-7,2,4,1,2022-02-09T20:17:54Z,9,30,10,2,18,2022-02-09
WP-7,2,4,1,2022-02-09T20:18:13Z,4,30,9,2.2222222222222223,8.88888888888889,2022-02-09
WP-7,2,4,1,2022-02-09T20:18:14Z,5,30,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-7,2,4,1,2022-02-09T20:18:15Z,6,30,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-7,2,4,1,2022-02-09T20:18:16Z,7,30,9,2.2222222222222223,15.555555555555557,2022-02-09
WP-7,2,4,1,2022-02-09T20:18:17Z,8,30,9,2.2222222222222223,17.77777777777778,2022-02-09
WP-7,2,4,1,2022-02-09T20:18:18Z,9,30,9,2.2222222222222223,20,2022-02-09
WP-7,2,4,1,2022-02-09T20:18:37Z,2,30,10,2,4,2022-02-09
WP-7,2,4,1,2022-02-09T20:18:38Z,3,30,10,2,6,2022-02-09
WP-7,2,4,1,2022-02-09T20:18:39Z,4,30,10,2,8,2022-02-09
WP-7,2,4,1,2022-02-09T20:18:40Z,5,30,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T20:18:41Z,6,30,10,2,12,2022-02-09
WP-7,2,4,1,2022-02-09T20:18:42Z,7,30,10,2,14,2022-02-09
WP-7,2,4,1,2022-02-09T20:18:43Z,8,30,10,2,16,2022-02-09
WP-7,2,4,1,2022-02-09T20:18:58Z,3,30,10,2,6,2022-02-09
WP-7,2,4,1,2022-02-09T20:18:59Z,4,30,10,2,8,2022-02-09
WP-7,2,4,1,2022-02-09T20:19:00Z,5,30,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T20:19:01Z,6,30,10,2,12,2022-02-09
WP-7,2,4,1,2022-02-09T20:19:02Z,7,30,10,2,14,2022-02-09
WP-7,2,4,1,2022-02-09T20:19:03Z,8,30,10,2,16,2022-02-09
WP-7,2,4,1,2022-02-09T20:19:04Z,9,30,10,2,18,2022-02-09
WP-7,2,4,1,2022-02-09T20:19:05Z,10,30,10,2,20,2022-02-09
WP-7,2,4,1,2022-02-09T20:19:17Z,2,30,10,2,4,2022-02-09
WP-7,2,4,1,2022-02-09T20:19:18Z,3,30,10,2,6,2022-02-09
WP-7,2,4,1,2022-02-09T20:19:19Z,4,30,10,2,8,2022-02-09
WP-7,2,4,1,2022-02-09T20:19:20Z,5,30,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T20:19:21Z,6,30,10,2,12,2022-02-09
WP-7,2,4,1,2022-02-09T20:19:22Z,7,30,10,2,14,2022-02-09
WP-7,2,4,1,2022-02-09T20:19:23Z,8,30,10,2,16,2022-02-09
WP-9,2,4,1,2022-02-09T21:11:51Z,4,3,10,2,8,2022-02-09
WP-9,2,4,1,2022-02-09T21:11:52Z,5,3,10,2,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:12:31Z,5,3,10,2,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:12:56Z,5,3,10,2,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:12:57Z,6,3,10,2,12,2022-02-09
WP-9,2,4,1,2022-02-09T21:13:20Z,4,3,10,2,8,2022-02-09
WP-9,2,4,1,2022-02-09T21:13:21Z,5,3,10,2,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:13:44Z,4,3,10,2,8,2022-02-09
WP-9,2,4,1,2022-02-09T21:13:45Z,5,3,10,2,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:14:09Z,5,3,10,2,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:14:10Z,6,3,10,2,12,2022-02-09
WP-9,2,4,1,2022-02-09T21:14:46Z,4,5,10,2,8,2022-02-09
WP-9,2,4,1,2022-02-09T21:14:47Z,5,5,10,2,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:14:48Z,6,5,10,2,12,2022-02-09
WP-9,2,4,1,2022-02-09T21:15:11Z,5,5,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-9,2,4,1,2022-02-09T21:15:12Z,6,5,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-9,2,4,1,2022-02-09T21:15:35Z,4,5,9,2.2222222222222223,8.88888888888889,2022-02-09
WP-9,2,4,1,2022-02-09T21:15:36Z,5,5,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-9,2,4,1,2022-02-09T21:15:37Z,6,5,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-9,2,4,1,2022-02-09T21:15:59Z,5,5,10,2,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:16:00Z,6,5,10,2,12,2022-02-09
WP-9,2,4,1,2022-02-09T21:16:24Z,4,5,10,2,8,2022-02-09
WP-9,2,4,1,2022-02-09T21:16:25Z,5,5,10,2,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:16:52Z,4,5,10,2,8,2022-02-09
WP-9,2,4,1,2022-02-09T21:16:53Z,5,5,10,2,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:17:26Z,4,10,10,2,8,2022-02-09
WP-9,2,4,1,2022-02-09T21:17:27Z,5,10,10,2,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:17:28Z,6,10,10,2,12,2022-02-09
WP-9,2,4,1,2022-02-09T21:17:51Z,4,10,9,2.2222222222222223,8.88888888888889,2022-02-09
WP-9,2,4,1,2022-02-09T21:17:52Z,5,10,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-9,2,4,1,2022-02-09T21:17:53Z,6,10,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-9,2,4,1,2022-02-09T21:18:18Z,3,10,10,2,6,2022-02-09
WP-9,2,4,1,2022-02-09T21:18:19Z,4,10,10,2,8,2022-02-09
WP-9,2,4,1,2022-02-09T21:18:20Z,5,10,10,2,10,2022-02-09
